Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
495,Calyrex,1e-05,109.0,0.005,83.0,0.005
496,Shellos,1e-05,28.0,0.001,21.0,0.001
497,Fraxure,1e-05,18.0,0.001,9.0,0.001
498,Eevee,1e-05,243.0,0.012,175.0,0.011
499,Totodile,1e-05,84.0,0.004,61.0,0.004
500,Trapinch,1e-05,136.0,0.007,101.0,0.006
501,Vulpix-Alola,1e-05,41.0,0.002,34.0,0.002
502,Skiddo,1e-05,10.0,0.0,8.0,0.001
503,Krokorok,1e-05,47.0,0.002,42.0,0.003
504,Morgrem,1e-05,139.0,0.007,123.0,0.008
505,Treecko,1e-05,119.0,0.006,75.0,0.005
506,Dolliv,1e-05,21.0,0.001,16.0,0.001
507,Smoliv,1e-05,12.0,0.001,10.0,0.001
508,Croconaw,1e-05,21.0,0.001,16.0,0.001
509,Sandshrew,1e-05,126.0,0.006,111.0,0.007
510,Dewpider,1e-05,38.0,0.002,33.0,0.002
511,Sunkern,1e-05,25.0,0.001,23.0,0.001
512,Marill,1e-05,34.0,0.002,29.0,0.002
513,Makuhita,1e-05,24.0,0.001,14.0,0.001
514,Wattrel,1e-05,30.0,0.001,24.0,0.002
515,Yanma,1e-05,78.0,0.004,61.0,0.004
516,Fuecoco,0.0,32.0,0.002,27.0,0.002
517,Jigglypuff,0.0,128.0,0.006,96.0,0.006
518,Hippopotas,0.0,84.0,0.004,72.0,0.005
519,Magnemite,0.0,82.0,0.004,73.0,0.005
520,Minun,0.0,333.0,0.017,227.0,0.014
521,Poltchageist,0.0,7.0,0.0,3.0,0.0
522,Magikarp,0.0,192.0,0.01,166.0,0.01
523,Slowpoke,0.0,66.0,0.003,61.0,0.004
524,Wooper,0.0,154.0,0.008,128.0,0.008
525,Dragonair,0.0,382.0,0.019,293.0,0.018
526,Fletchinder,0.0,24.0,0.001,17.0,0.001
527,Kubfu,0.0,40.0,0.002,37.0,0.002
528,Wartortle,0.0,111.0,0.006,82.0,0.005
529,Chingling,0.0,47.0,0.002,44.0,0.003
530,Tinkatuff,0.0,45.0,0.002,39.0,0.002
531,Glimmet,0.0,93.0,0.005,86.0,0.005
532,Charjabug,0.0,452.0,0.022,426.0,0.027
533,Flittle,0.0,92.0,0.005,71.0,0.004
534,Magmar,0.0,498.0,0.025,399.0,0.025
535,Inkay,0.0,13.0,0.001,13.0,0.001
536,Cranidos,0.0,7.0,0.0,6.0,0.0
537,Turtwig,0.0,44.0,0.002,34.0,0.002
538,Charmander,0.0,52.0,0.003,41.0,0.003
539,Growlithe-Hisui,0.0,27.0,0.001,14.0,0.001
540,Cetoddle,0.0,19.0,0.001,17.0,0.001
541,Snorunt,0.0,12.0,0.001,8.0,0.001
542,Pawniard,0.0,53.0,0.003,46.0,0.003
543,Squirtle,0.0,98.0,0.005,81.0,0.005
544,Surskit,0.0,53.0,0.003,27.0,0.002
545,Bonsly,0.0,60.0,0.003,46.0,0.003
546,Sinistea,0.0,24.0,0.001,19.0,0.001
547,Corvisquire,0.0,11.0,0.001,10.0,0.001
548,Seedot,0.0,53.0,0.003,36.0,0.002
549,Grotle,0.0,134.0,0.007,108.0,0.007
550,Quaxwell,0.0,14.0,0.001,9.0,0.001
551,Munchlax,0.0,157.0,0.008,103.0,0.006
552,Salandit,0.0,18.0,0.001,15.0,0.001
553,Voltorb-Hisui,0.0,59.0,0.003,51.0,0.003
554,Mankey,0.0,10.0,0.0,9.0,0.001
555,Duskull,0.0,19.0,0.001,15.0,0.001
556,Floragato,0.0,29.0,0.001,20.0,0.001
557,Shroodle,0.0,164.0,0.008,80.0,0.005
558,Sliggoo-Hisui,0.0,72.0,0.004,65.0,0.004
559,Shroomish,0.0,10.0,0.0,7.0,0.0
560,Bulbasaur,0.0,199.0,0.01,148.0,0.009
561,Meowth,0.0,69.0,0.003,52.0,0.003
562,Slowpoke-Galar,0.0,19.0,0.001,18.0,0.001
563,Duosion,0.0,100.0,0.005,75.0,0.005
564,Quaxly,0.0,48.0,0.002,34.0,0.002
